,precision,recall,f1-score,support
anger,0.25,0.25,0.25,4.0
disgust,0.25,0.5,0.3333333333333333,4.0
fear,0.25,0.16666666666666666,0.2,6.0
joy,0.75,0.5,0.6,6.0
neutral,0.5,0.375,0.42857142857142855,8.0
sadness,0.3,0.75,0.4285714285714285,4.0
surprise,0.0,0.0,0.0,4.0
accuracy,0.3611111111111111,0.3611111111111111,0.3611111111111111,0.3611111111111111
macro avg,0.32857142857142857,0.3630952380952381,0.32006802721088434,36.0
weighted avg,0.36666666666666664,0.3611111111111111,0.341005291005291,36.0
